"x1","x2","x3","x4","x5"
6169.49137669,288.0,288.0,288.0,0.0
5388.806446188,252.0,252.0,252.0,0.0
5584.470211786,261.0,261.0,261.0,0.0
5556.232327336,260.0,260.0,260.0,0.0
5806.46477869,272.0,272.0,272.0,0.0
5720.94337518,268.0,268.0,268.0,0.0
5674.694916303,266.0,266.0,266.0,0.0
5722.884748919,268.0,268.0,268.0,0.0
5703.898815827,267.0,267.0,267.0,0.0
5809.190538023,272.0,272.0,272.0,0.0
5528.178443524,259.0,259.0,259.0,0.0
5914.301455229,277.0,277.0,277.0,0.0
6126.384442718,287.0,287.0,287.0,0.0
5553.750001648,260.0,260.0,260.0,0.0
6314.162077349,296.0,296.0,296.0,0.0
5950.20643494,279.0,279.0,279.0,0.0
5551.960701633,260.0,260.0,260.0,0.0
5678.089334772,266.0,266.0,266.0,0.0
6058.330833959,284.0,284.0,284.0,0.0
5463.17247851,256.0,256.0,256.0,0.0
5611.047085832,263.0,263.0,263.0,0.0
4993.660022687,234.0,234.0,234.0,0.0
5738.888154386,269.0,269.0,269.0,0.0
6626.588366242,311.0,311.0,311.0,0.0
5527.155891647,259.0,259.0,259.0,0.0
5908.207702505,277.0,277.0,277.0,0.0
6016.848907786,283.0,283.0,283.0,0.0
5535.131350359,260.0,260.0,260.0,0.0
6061.582571817,285.0,285.0,285.0,0.0
6312.465353918,297.0,297.0,297.0,0.0
5694.828143286,268.0,268.0,268.0,0.0
5695.770226842,268.0,268.0,268.0,0.0
5910.442987104,278.0,278.0,278.0,0.0
6007.722774115,283.0,283.0,283.0,0.0
5756.653497742,271.0,271.0,271.0,0.0
5087.742080494,239.0,239.0,239.0,0.0
5299.305042239,249.0,249.0,249.0,0.0
5992.258963192,282.0,282.0,282.0,0.0
6012.897908736,283.0,283.0,283.0,0.0
5444.621215384,256.0,256.0,256.0,0.0
5818.510710431,274.0,274.0,274.0,0.0
5076.140791353,239.0,239.0,239.0,0.0
5234.181585164,246.0,246.0,246.0,0.0
5037.631882774,237.0,237.0,237.0,0.0
5879.89591387,277.0,277.0,277.0,0.0
5785.146895612,272.0,272.0,272.0,0.0
5552.739022293,261.0,261.0,261.0,0.0
5401.577447814,254.0,254.0,254.0,0.0
5798.063520496,273.0,273.0,273.0,0.0
5794.517370661,273.0,273.0,273.0,0.0
6101.927732131,286.0,286.0,286.0,0.0
5875.797321772,276.0,276.0,276.0,0.0
5688.423104352,267.0,267.0,267.0,0.0
5280.937457576,248.0,248.0,248.0,0.0
5582.209769651,262.0,262.0,262.0,0.0
5448.520680358,256.0,256.0,256.0,0.0
6009.948757355,283.0,283.0,283.0,0.0
5224.286274885,245.0,245.0,245.0,0.0
6083.556268758,286.0,286.0,286.0,0.0
5259.037182504,247.0,247.0,247.0,0.0
5534.0066257,260.0,260.0,260.0,0.0
5998.918608827,282.0,282.0,282.0,0.0
6058.448863492,285.0,285.0,285.0,0.0
5451.528990651,256.0,256.0,256.0,0.0
5743.993742548,270.0,270.0,270.0,0.0
5272.599290329,248.0,248.0,248.0,0.0
5251.942287582,247.0,247.0,247.0,0.0
5779.467202312,272.0,272.0,272.0,0.0
5952.001162618,280.0,280.0,280.0,0.0
5841.51239435,275.0,275.0,275.0,0.0
6477.514221468,305.0,305.0,305.0,0.0
5862.873847909,276.0,276.0,276.0,0.0
5525.692709297,260.0,260.0,260.0,0.0
5913.614471491,278.0,278.0,278.0,0.0
5735.263331539,270.0,270.0,270.0,0.0
5366.275781724,250.0,250.0,250.0,0.0
6382.611762132,299.0,299.0,299.0,0.0
5564.730621605,260.0,260.0,260.0,0.0
4989.262827405,233.0,233.0,233.0,0.0
6170.267980864,289.0,289.0,289.0,0.0
5617.186506944,263.0,263.0,263.0,0.0
5428.959316782,254.0,254.0,254.0,0.0
5804.213411127,272.0,272.0,272.0,0.0
5481.783167387,257.0,257.0,257.0,0.0
5952.12526728,279.0,279.0,279.0,0.0
5738.221440537,269.0,269.0,269.0,0.0
6334.737794683,297.0,297.0,297.0,0.0
5657.128972727,265.0,265.0,265.0,0.0
6474.438307381,304.0,304.0,304.0,0.0
5595.922051827,262.0,262.0,262.0,0.0
5479.912883991,257.0,257.0,257.0,0.0
6261.102140558,294.0,294.0,294.0,0.0
5648.917744461,265.0,265.0,265.0,0.0
6005.93807766,282.0,282.0,282.0,0.0
5543.29587635,260.0,260.0,260.0,0.0
6010.996659116,282.0,282.0,282.0,0.0
4808.334733494,225.0,225.0,225.0,0.0
5692.496399613,267.0,267.0,267.0,0.0
6160.187635119,289.0,289.0,289.0,0.0
6007.607344643,282.0,282.0,282.0,0.0
