"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
2169.420249782,99.0,0.0,230.0,57.0,42.0,51.0,188.0,6.0,42.0,51.0,6.0,0.0
2026.556782972,93.0,0.0,243.0,55.0,37.0,52.0,206.0,3.0,34.0,52.0,7.0,0.0
2321.615203351,107.0,0.0,227.0,74.0,33.0,66.0,194.0,8.0,29.0,66.0,12.0,0.0
2661.357319131,123.0,0.0,245.0,77.0,46.0,68.0,199.0,9.0,44.0,68.0,11.0,0.0
1794.217871683,82.0,0.0,276.0,48.0,32.0,38.0,244.0,10.0,30.0,38.0,14.0,0.0
2263.216371847,104.0,0.0,252.0,64.0,43.0,58.0,209.0,6.0,39.0,58.0,7.0,0.0
1944.753182255,89.0,0.0,280.0,61.0,32.0,47.0,248.0,14.0,32.0,47.0,10.0,0.0
329.767175703,12.0,0.0,244.0,8.0,2.0,6.0,242.0,2.0,2.0,6.0,4.0,0.0
2159.303080592,99.0,0.0,275.0,61.0,40.0,51.0,235.0,10.0,39.0,51.0,9.0,0.0
2054.931456514,94.0,0.0,278.0,51.0,40.0,45.0,238.0,6.0,39.0,45.0,10.0,0.0
2320.378701995,107.0,0.0,268.0,57.0,41.0,51.0,227.0,6.0,41.0,51.0,15.0,0.0
1931.645785873,88.0,0.0,227.0,57.0,41.0,49.0,186.0,8.0,37.0,49.0,2.0,0.0
2427.081577593,112.0,0.0,262.0,65.0,52.0,57.0,210.0,8.0,49.0,57.0,6.0,0.0
1669.902517437,76.0,0.0,259.0,40.0,33.0,37.0,226.0,3.0,30.0,37.0,9.0,0.0
2217.739060682,102.0,0.0,258.0,62.0,48.0,52.0,210.0,10.0,45.0,52.0,5.0,0.0
1990.423118187,91.0,0.0,262.0,48.0,40.0,43.0,222.0,5.0,37.0,43.0,11.0,0.0
1732.332551045,79.0,0.0,272.0,42.0,26.0,38.0,246.0,4.0,25.0,38.0,16.0,0.0
1920.103202077,88.0,0.0,238.0,41.0,39.0,39.0,199.0,2.0,39.0,39.0,10.0,0.0
2683.43205268,124.0,0.0,248.0,69.0,44.0,64.0,204.0,5.0,42.0,64.0,18.0,0.0
2286.408170841,105.0,0.0,227.0,59.0,46.0,52.0,181.0,7.0,45.0,52.0,8.0,0.0
2499.807951196,115.0,0.0,242.0,63.0,47.0,57.0,195.0,6.0,46.0,57.0,12.0,0.0
2363.578779274,109.0,0.0,235.0,78.0,30.0,68.0,205.0,10.0,30.0,68.0,11.0,0.0
1965.484826216,90.0,0.0,279.0,57.0,43.0,44.0,236.0,13.0,40.0,44.0,6.0,0.0
2307.252508163,106.0,0.0,267.0,68.0,36.0,56.0,231.0,12.0,35.0,56.0,15.0,0.0
2279.098696308,105.0,0.0,223.0,60.0,44.0,55.0,179.0,5.0,43.0,55.0,7.0,0.0
1633.934094173,74.0,0.0,265.0,51.0,25.0,39.0,240.0,12.0,24.0,39.0,11.0,0.0
2669.091934143,124.0,0.0,274.0,88.0,33.0,79.0,241.0,9.0,30.0,79.0,15.0,0.0
2418.423037587,112.0,0.0,246.0,65.0,45.0,61.0,201.0,4.0,43.0,61.0,8.0,0.0
1661.906026289,76.0,0.0,302.0,49.0,24.0,43.0,278.0,6.0,24.0,43.0,9.0,0.0
2353.202762023,109.0,0.0,218.0,66.0,35.0,62.0,183.0,4.0,35.0,62.0,12.0,0.0
2191.888739549,101.0,0.0,261.0,57.0,36.0,53.0,225.0,4.0,35.0,53.0,13.0,0.0
2063.701331639,95.0,0.0,254.0,63.0,33.0,56.0,221.0,7.0,31.0,56.0,8.0,0.0
2040.737377355,94.0,0.0,257.0,62.0,38.0,53.0,219.0,9.0,35.0,53.0,6.0,0.0
1788.874767722,82.0,0.0,257.0,59.0,19.0,47.0,238.0,12.0,18.0,47.0,17.0,0.0
2102.473047093,97.0,0.0,272.0,68.0,29.0,55.0,243.0,13.0,29.0,55.0,13.0,0.0
2063.025503716,95.0,0.0,266.0,48.0,45.0,40.0,221.0,8.0,43.0,40.0,12.0,0.0
1684.523189924,77.0,0.0,238.0,44.0,37.0,36.0,201.0,8.0,33.0,36.0,8.0,0.0
1683.81016739,77.0,0.0,222.0,51.0,30.0,40.0,192.0,11.0,27.0,40.0,10.0,0.0
2063.073197386,95.0,0.0,280.0,61.0,36.0,51.0,244.0,10.0,35.0,51.0,9.0,0.0
2024.428367776,93.0,0.0,241.0,59.0,33.0,54.0,208.0,5.0,32.0,54.0,7.0,0.0
2116.776693873,97.0,0.0,238.0,56.0,33.0,52.0,205.0,4.0,31.0,52.0,14.0,0.0
1921.581451812,88.0,0.0,213.0,64.0,22.0,53.0,191.0,11.0,22.0,53.0,13.0,0.0
943.02971542,41.0,0.0,203.0,10.0,27.0,10.0,176.0,0.0,26.0,10.0,5.0,0.0
2007.425453116,92.0,0.0,225.0,57.0,36.0,49.0,189.0,8.0,36.0,49.0,7.0,0.0
1834.337006397,84.0,0.0,271.0,62.0,29.0,47.0,242.0,15.0,29.0,47.0,8.0,0.0
1682.661296434,77.0,0.0,299.0,51.0,24.0,40.0,275.0,11.0,24.0,40.0,13.0,0.0
2243.2040547,103.0,0.0,268.0,67.0,37.0,57.0,231.0,10.0,37.0,57.0,9.0,0.0
1980.54642102,91.0,0.0,250.0,54.0,39.0,47.0,211.0,7.0,38.0,47.0,6.0,0.0
2216.992697958,102.0,0.0,267.0,57.0,40.0,50.0,227.0,7.0,38.0,50.0,14.0,0.0
1414.152253836,64.0,0.0,262.0,39.0,20.0,33.0,242.0,6.0,20.0,33.0,11.0,0.0
2174.934273231,100.0,0.0,236.0,62.0,34.0,57.0,202.0,5.0,33.0,57.0,10.0,0.0
1870.876000305,86.0,0.0,272.0,55.0,31.0,46.0,241.0,9.0,30.0,46.0,10.0,0.0
2171.56771674,100.0,0.0,225.0,58.0,37.0,53.0,188.0,5.0,37.0,53.0,10.0,0.0
1639.26043351,75.0,0.0,275.0,43.0,30.0,38.0,245.0,5.0,26.0,38.0,11.0,0.0
2165.640647651,100.0,0.0,243.0,65.0,35.0,57.0,208.0,8.0,33.0,57.0,10.0,0.0
1957.298434102,90.0,0.0,261.0,65.0,30.0,58.0,231.0,7.0,26.0,58.0,6.0,0.0
1725.31344454,79.0,0.0,243.0,43.0,30.0,38.0,213.0,5.0,28.0,38.0,13.0,0.0
1978.863535544,91.0,0.0,243.0,54.0,34.0,47.0,209.0,7.0,34.0,47.0,10.0,0.0
1388.328924347,63.0,0.0,262.0,20.0,36.0,17.0,226.0,3.0,35.0,17.0,11.0,0.0
2360.524299476,109.0,0.0,239.0,70.0,39.0,64.0,200.0,6.0,36.0,64.0,9.0,0.0
2086.553104948,96.0,0.0,304.0,57.0,36.0,50.0,268.0,7.0,36.0,50.0,10.0,0.0
2210.200000524,102.0,0.0,283.0,71.0,25.0,70.0,258.0,1.0,22.0,70.0,10.0,0.0
2229.347449119,103.0,0.0,231.0,65.0,38.0,56.0,193.0,9.0,37.0,56.0,10.0,0.0
2277.585603794,105.0,0.0,249.0,57.0,44.0,52.0,205.0,5.0,40.0,52.0,13.0,0.0
1748.522163506,80.0,0.0,249.0,64.0,22.0,52.0,227.0,12.0,21.0,52.0,7.0,0.0
2149.732932773,99.0,0.0,215.0,64.0,33.0,58.0,182.0,6.0,32.0,58.0,9.0,0.0
1957.869948779,90.0,0.0,255.0,57.0,31.0,48.0,224.0,9.0,31.0,48.0,11.0,0.0
1789.09700322,82.0,0.0,279.0,53.0,28.0,47.0,251.0,6.0,28.0,47.0,7.0,0.0
1667.586959023,76.0,0.0,227.0,42.0,33.0,36.0,194.0,6.0,32.0,36.0,8.0,0.0
776.287564015,33.0,0.0,215.0,11.0,23.0,8.0,192.0,3.0,22.0,8.0,3.0,0.0
2063.620815804,95.0,0.0,254.0,51.0,30.0,49.0,224.0,2.0,28.0,49.0,18.0,0.0
2342.350850647,108.0,0.0,235.0,74.0,28.0,67.0,207.0,7.0,27.0,67.0,14.0,0.0
2441.488626827,113.0,0.0,224.0,81.0,29.0,78.0,195.0,3.0,28.0,78.0,7.0,0.0
2272.316652522,105.0,0.0,238.0,62.0,38.0,60.0,200.0,2.0,36.0,60.0,9.0,0.0
2153.613093644,99.0,0.0,248.0,64.0,42.0,49.0,206.0,15.0,41.0,49.0,9.0,0.0
2882.803439431,133.0,0.0,249.0,81.0,50.0,75.0,199.0,6.0,45.0,75.0,13.0,0.0
2176.973080782,100.0,0.0,218.0,58.0,42.0,52.0,176.0,6.0,37.0,52.0,11.0,0.0
2361.907996335,109.0,0.0,245.0,76.0,29.0,68.0,216.0,8.0,27.0,68.0,14.0,0.0
1818.479936001,83.0,0.0,334.0,60.0,30.0,47.0,304.0,13.0,29.0,47.0,7.0,0.0
2427.57014568,112.0,0.0,218.0,71.0,41.0,68.0,177.0,3.0,38.0,68.0,6.0,0.0
2301.991610519,106.0,0.0,289.0,54.0,45.0,53.0,244.0,1.0,43.0,53.0,10.0,0.0
2111.715576545,97.0,0.0,233.0,59.0,41.0,52.0,192.0,7.0,40.0,52.0,5.0,0.0
2278.298801035,105.0,0.0,232.0,61.0,45.0,56.0,187.0,5.0,41.0,56.0,8.0,0.0
2343.065059495,108.0,0.0,258.0,59.0,47.0,50.0,211.0,9.0,45.0,50.0,13.0,0.0
2446.425235488,113.0,0.0,240.0,72.0,40.0,65.0,200.0,7.0,38.0,65.0,10.0,0.0
2530.896393063,117.0,0.0,263.0,72.0,39.0,67.0,224.0,5.0,37.0,67.0,13.0,0.0
2431.905505565,112.0,0.0,254.0,64.0,47.0,57.0,207.0,7.0,44.0,57.0,11.0,0.0
1884.870354673,86.0,0.0,243.0,42.0,41.0,35.0,202.0,7.0,39.0,35.0,12.0,0.0
2388.910735423,110.0,0.0,255.0,68.0,41.0,59.0,214.0,9.0,39.0,59.0,12.0,0.0
1923.530491981,88.0,0.0,250.0,52.0,41.0,45.0,209.0,7.0,39.0,45.0,4.0,0.0
2265.559378159,104.0,0.0,251.0,67.0,37.0,64.0,214.0,3.0,35.0,64.0,5.0,0.0
1841.666127698,84.0,0.0,243.0,48.0,33.0,43.0,210.0,5.0,32.0,43.0,9.0,0.0
1823.27828887,83.0,0.0,258.0,43.0,37.0,40.0,221.0,3.0,35.0,40.0,8.0,0.0
2156.980652022,99.0,0.0,264.0,68.0,28.0,63.0,236.0,5.0,27.0,63.0,9.0,0.0
2450.782451341,113.0,0.0,234.0,67.0,43.0,60.0,191.0,7.0,43.0,60.0,10.0,0.0
2450.880440387,113.0,0.0,244.0,66.0,42.0,60.0,202.0,6.0,41.0,60.0,12.0,0.0
2118.176799091,97.0,0.0,266.0,52.0,38.0,49.0,228.0,3.0,36.0,49.0,12.0,0.0
2052.240463719,94.0,0.0,244.0,54.0,38.0,49.0,206.0,5.0,36.0,49.0,9.0,0.0
2093.550060632,96.0,0.0,243.0,63.0,36.0,55.0,207.0,8.0,33.0,55.0,8.0,0.0
2029.678526236,93.0,0.0,259.0,61.0,27.0,56.0,232.0,5.0,26.0,56.0,11.0,0.0
